Region,Customer_ID,Complaint_Type,Churn_Flag,NPS_Score,Quarter
North,CUST-NOR-011,Service Delay,Yes,2,Q2 FY25-26
North,CUST-NOR-014,Install Delay,Yes,4,Q2 FY25-26
North,CUST-NOR-022,Service Delay,Yes,3,Q2 FY25-26
North,CUST-NOR-019,No Complaint,No,8,Q2 FY25-26
North,CUST-NOR-025,App Issue,No,6,Q2 FY25-26
North,CUST-NOR-011,No Complaint,No,7,Q1 FY25-26
South,CUST-SOU-031,No Complaint,No,9,Q2 FY25-26
South,CUST-SOU-034,Billing Issue,No,7,Q2 FY25-26
East,CUST-EAS-041,No Complaint,No,8,Q2 FY25-26
West,CUST-WES-051,No Complaint,No,8,Q2 FY25-26
Central,CUST-CEN-061,No Complaint,No,9,Q2 FY25-26
