Region,Subscriber_ID,Complaint_Type,Churn_Flag,NPS_Score,Quarter
West,SUB-WES-021,Charging Downtime,Yes,3,Q2 FY25-26
West,SUB-WES-024,Charging Downtime,Yes,2,Q2 FY25-26
West,SUB-WES-027,Billing Issue,No,6,Q2 FY25-26
West,SUB-WES-029,No Complaint,No,8,Q2 FY25-26
West,SUB-WES-021,No Complaint,No,7,Q1 FY25-26
North,SUB-NOR-041,No Complaint,No,8,Q2 FY25-26
North,SUB-NOR-044,App Issue,No,6,Q2 FY25-26
South,SUB-SOU-051,No Complaint,No,9,Q2 FY25-26
South,SUB-SOU-054,Billing Issue,No,7,Q2 FY25-26
East,SUB-EAS-061,No Complaint,No,8,Q2 FY25-26
East,SUB-EAS-064,No Complaint,No,9,Q2 FY25-26
Central,SUB-CEN-071,No Complaint,No,8,Q2 FY25-26
Central,SUB-CEN-074,App Issue,No,6,Q2 FY25-26
