Region,Product,Month,Units,Revenue,Remarks
East,Smartphones,Oct-25,88,54560,—
East,Tablets,Oct-25,63,25830,—
East,Wearables,Oct-25,50,11500,—
East,Accessories,Oct-25,34,1870,—
East,Smartphones,Nov-25,98,60760,—
East,Tablets,Nov-25,70,28700,—
East,Wearables,Nov-25,56,12880,—
East,Accessories,Nov-25,38,2090,—
East,Smartphones,Dec-25,108,66960,—
East,Tablets,Dec-25,77,31570,—
East,Wearables,Dec-25,62,14260,—
East,Accessories,Dec-25,42,2310,—
East,Smartphones,Jan-26,92,57040,—
East,Tablets,Jan-26,65,26650,—
East,Wearables,Jan-26,52,11960,—
East,Accessories,Jan-26,36,1980,—
East,Smartphones,Feb-26,101,62620,—
East,Tablets,Feb-26,72,29520,—
East,Wearables,Feb-26,57,13110,—
East,Accessories,Feb-26,39,2145,—
East,Smartphones,Mar-26,110,68200,—
East,Tablets,Mar-26,78,31980,—
East,Wearables,Mar-26,63,14490,—
East,Accessories,Mar-26,43,2365,—
