Region,Product,Month,Units,Revenue,Remarks
North,Smartphones,Oct-25,74,45880,—
North,Tablets,Oct-25,53,21730,—
North,Wearables,Oct-25,42,9660,—
North,Accessories,Oct-25,29,1595,—
North,Smartphones,Nov-25,83,51460,—
North,Tablets,Nov-25,59,24190,—
North,Wearables,Nov-25,47,10810,—
North,Accessories,Nov-25,33,1815,—
North,Smartphones,Dec-25,92,57040,—
North,Tablets,Dec-25,66,27060,—
North,Wearables,Dec-25,52,11960,—
North,Accessories,Dec-25,36,1980,—
North,Smartphones,Jan-26,99,61380,—
North,Tablets,Jan-26,70,28700,—
North,Wearables,Jan-26,56,12880,—
North,Accessories,Jan-26,39,2145,—
North,Smartphones,Feb-26,107,66340,—
North,Tablets,Feb-26,77,31570,—
North,Wearables,Feb-26,61,14030,—
North,Accessories,Feb-26,42,2310,—
North,Smartphones,Mar-26,93,57660,—
North,Tablets,Mar-26,66,27060,—
North,Wearables,Mar-26,53,12190,—
North,Accessories,Mar-26,36,1980,—
