Region,Product,Month,Units,Revenue
North,Laptops,Feb,30,28500
North,Tablets,Feb,21,10920
North,Phones,Feb,27,21060
North,Accessories,Feb,13,585
South,Laptops,Feb,49,46550
South,Tablets,Feb,35,18200
South,Phones,Feb,44,34320
South,Accessories,Feb,21,945
East,Laptops,Feb,54,51300
East,Tablets,Feb,38,19760
East,Phones,Feb,63,49140
East,Accessories,Feb,30,1350
West,Laptops,Feb,37,35150
West,Tablets,Feb,26,13520
West,Phones,Feb,43,33540
West,Accessories,Feb,20,900
North,Laptops,Mar,26,24700
North,Tablets,Mar,19,9880
North,Phones,Mar,31,24180
North,Accessories,Mar,15,675
South,Laptops,Mar,44,41800
South,Tablets,Mar,31,16120
South,Phones,Mar,51,39780
South,Accessories,Mar,24,1080
East,Laptops,Mar,63,59850
East,Tablets,Mar,44,22880
East,Phones,Mar,73,56940
East,Accessories,Mar,26,1170
West,Laptops,Mar,43,40850
West,Tablets,Mar,30,15600
West,Phones,Mar,50,39000
West,Accessories,Mar,18,810
North,Laptops,Apr,31,29450
North,Tablets,Apr,22,11440
North,Phones,Apr,36,28080
North,Accessories,Apr,17,765
South,Laptops,Apr,51,48450
South,Tablets,Apr,36,18720
South,Phones,Apr,59,46020
South,Accessories,Apr,28,1260
East,Laptops,Apr,55,52250
East,Tablets,Apr,39,20280
East,Phones,Apr,65,50700
East,Accessories,Apr,31,1395
West,Laptops,Apr,38,36100
West,Tablets,Apr,27,14040
West,Phones,Apr,44,34320
West,Accessories,Apr,21,945
North,Laptops,May,36,34200
North,Tablets,May,25,13000
North,Phones,May,42,32760
North,Accessories,May,15,675
South,Laptops,May,58,55100
South,Tablets,May,41,21320
South,Phones,May,68,53040
South,Accessories,May,25,1125
East,Laptops,May,64,60800
East,Tablets,May,46,23920
East,Phones,May,75,58500
East,Accessories,May,36,1620
West,Laptops,May,44,41800
West,Tablets,May,31,16120
West,Phones,May,51,39780
West,Accessories,May,24,1080
North,Laptops,Jun,32,30400
North,Tablets,Jun,23,11960
North,Phones,Jun,37,28860
North,Accessories,Jun,18,810
South,Laptops,Jun,52,49400
South,Tablets,Jun,37,19240
South,Phones,Jun,61,47580
South,Accessories,Jun,29,1305
East,Laptops,Jun,75,71250
East,Tablets,Jun,53,27560
East,Phones,Jun,88,68640
East,Accessories,Jun,32,1440
West,Laptops,Jun,51,48450
West,Tablets,Jun,36,18720
West,Phones,Jun,60,46800
West,Accessories,Jun,22,990
North,Laptops,Jul,37,35150
North,Tablets,Jul,26,13520
North,Phones,Jul,44,34320
North,Accessories,Jul,21,945
South,Laptops,Jul,61,57950
South,Tablets,Jul,43,22360
South,Phones,Jul,72,56160
South,Accessories,Jul,34,1530
East,Laptops,Jul,67,63650
East,Tablets,Jul,47,24440
East,Phones,Jul,79,61620
East,Accessories,Jul,37,1665
West,Laptops,Jul,45,42750
West,Tablets,Jul,32,16640
West,Phones,Jul,53,41340
West,Accessories,Jul,25,1125
