Vendor,Category,Month,PO Count,Spend Amount
Northwind Traders,Electronics,Feb,6,44413
Northwind Traders,Packaging,Feb,5,37428
Northwind Traders,Freight,Feb,4,29567
Northwind Traders,Services,Feb,2,14700
Globex Supply,Electronics,Feb,5,37324
Globex Supply,Packaging,Feb,3,22112
Globex Supply,Freight,Feb,3,22363
Globex Supply,Services,Feb,2,14825
Initech Logistics,Electronics,Feb,4,29608
Initech Logistics,Packaging,Feb,3,22457
Initech Logistics,Freight,Feb,2,14783
Initech Logistics,Services,Feb,2,14700
Umbrella Materials,Electronics,Feb,3,22426
Umbrella Materials,Packaging,Feb,2,14762
Umbrella Materials,Freight,Feb,2,14930
Umbrella Materials,Services,Feb,1,7423
Northwind Traders,Electronics,Mar,6,44538
Northwind Traders,Packaging,Mar,4,29316
Northwind Traders,Freight,Mar,4,29650
Northwind Traders,Services,Mar,3,22112
Globex Supply,Electronics,Mar,6,44914
Globex Supply,Packaging,Mar,4,29567
Globex Supply,Freight,Mar,4,29901
Globex Supply,Services,Mar,2,14867
Initech Logistics,Electronics,Mar,4,29692
Initech Logistics,Packaging,Mar,3,21987
Initech Logistics,Freight,Mar,3,22238
Initech Logistics,Services,Mar,2,14741
Umbrella Materials,Electronics,Mar,3,22488
Umbrella Materials,Packaging,Mar,2,14804
Umbrella Materials,Freight,Mar,2,14971
Umbrella Materials,Services,Mar,1,7444
Northwind Traders,Electronics,Apr,7,52107
Northwind Traders,Packaging,Apr,5,36749
Northwind Traders,Freight,Apr,5,37167
Northwind Traders,Services,Apr,3,22175
Globex Supply,Electronics,Apr,5,36645
Globex Supply,Packaging,Apr,4,29650
Globex Supply,Freight,Apr,4,29984
Globex Supply,Services,Apr,3,22363
Initech Logistics,Electronics,Apr,5,37219
Initech Logistics,Packaging,Apr,3,22050
Initech Logistics,Freight,Apr,3,22300
Initech Logistics,Services,Apr,2,14783
Umbrella Materials,Electronics,Apr,3,22018
Umbrella Materials,Packaging,Apr,3,22269
Umbrella Materials,Freight,Apr,2,14658
Umbrella Materials,Services,Apr,2,14930
Northwind Traders,Electronics,May,8,59718
Northwind Traders,Packaging,May,5,36854
Northwind Traders,Freight,May,5,37272
Northwind Traders,Services,May,3,22238
Globex Supply,Electronics,May,5,36749
Globex Supply,Packaging,May,5,37167
Globex Supply,Freight,May,3,22018
Globex Supply,Services,May,3,22426
Initech Logistics,Electronics,May,5,37324
Initech Logistics,Packaging,May,3,22112
Initech Logistics,Freight,May,3,22363
Initech Logistics,Services,May,2,14825
Umbrella Materials,Electronics,May,3,22081
Umbrella Materials,Packaging,May,3,22332
Umbrella Materials,Freight,May,2,14700
Umbrella Materials,Services,May,2,14971
Northwind Traders,Electronics,Jun,9,67371
Northwind Traders,Packaging,Jun,6,44350
Northwind Traders,Freight,Jun,6,44851
Northwind Traders,Services,Jun,4,29734
Globex Supply,Electronics,Jun,6,44224
Globex Supply,Packaging,Jun,5,37272
Globex Supply,Freight,Jun,4,29441
Globex Supply,Services,Jun,3,22488
Initech Logistics,Electronics,Jun,6,44914
Initech Logistics,Packaging,Jun,4,29567
Initech Logistics,Freight,Jun,4,29901
Initech Logistics,Services,Jun,2,14867
Umbrella Materials,Electronics,Jun,4,29525
Umbrella Materials,Packaging,Jun,3,22394
Umbrella Materials,Freight,Jun,2,14741
Umbrella Materials,Services,Jun,1,7329
Northwind Traders,Electronics,Jul,7,51303
Northwind Traders,Packaging,Jul,6,44475
Northwind Traders,Freight,Jul,6,44977
Northwind Traders,Services,Jul,4,29817
Globex Supply,Electronics,Jul,7,51741
Globex Supply,Packaging,Jul,6,44851
Globex Supply,Freight,Jul,4,29525
Globex Supply,Services,Jul,3,22018
Initech Logistics,Electronics,Jul,5,36645
Initech Logistics,Packaging,Jul,4,29650
Initech Logistics,Freight,Jul,4,29984
Initech Logistics,Services,Jul,3,22363
Umbrella Materials,Electronics,Jul,4,29608
Umbrella Materials,Packaging,Jul,3,22457
Umbrella Materials,Freight,Jul,3,22175
Umbrella Materials,Services,Jul,2,14700
